,Total,Short,Medium,Long,,Expected,,,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
12,Nathan Aké,nl NED,DF,Manchester City,29-347,1995,6.7,439,469,93.6,7148,2401,216,221,97.7,202,208,97.1,17,29,58.6,0,0.0,0.1,0.0,0,32,1,0,39,Matches,,,,,,,,,
13,Carlos Alcaraz,ar ARG,MF,Southampton,22-061,2002,0.1,13,13,100.0,221,66,7,7,100.0,4,4,100.0,2,2,100.0,0,0.1,0.0,-0.1,1,4,1,1,6,Matches,,,,,,,,,
14,Trent Alexander-Arnold,eng ENG,DF,Liverpool,26-115,1998,18.5,999,1359,73.5,18942,7486,445,498,89.4,398,525,75.8,138,279,49.5,6,6.3,6.3,-0.3,42,132,53,18,155,Matches,,,,,,,,,
15,Alisson,br BRA,GK,Liverpool,32-120,1992,13.9,359,421,85.3,7401,4720,113,113,100.0,201,204,98.5,44,101,43.6,0,0.6,0.2,-0.6,1,5,0,0,0,Matches,,,,,,,,,
16,Miguel Almirón,py PAR,FW,Newcastle Utd,30-355,1994,1.7,54,66,81.8,707,219,39,42,92.9,13,16,81.3,1,3,33.3,0,0.3,0.2,-0.3,3,3,1,0,6,Matches,,,,,,,,,
17,Edson Álvarez,mx MEX,MF,West Ham,27-098,1997,13.7,579,672,86.2,9945,2895,277,310,89.4,246,273,90.1,51,69,73.9,1,0.8,0.7,+0.2,10,57,10,3,55,Matches,,,,,,,,,
18,Will Alves,eng ENG,FW,Leicester City,19-362,2005,0.0,1,1,100.0,12,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,,,,,,,,,
19,Samuel Amo-Ameyaw,eng ENG,"FW,DF",Southampton,18-196,2006,0.3,8,9,88.9,107,13,6,6,100.0,2,3,66.7,0,0,,0,0.1,0.1,-0.1,1,0,1,1,0,Matches,,,,,,,,,
20,Joachim Andersen,dk DEN,DF,Crystal Palace,28-244,1996,1.0,61,83,73.5,1227,526,19,21,90.5,31,37,83.8,9,21,42.9,0,0.0,0.0,0.0,0,9,1,0,4,Matches,,,,,,,,,
21,Joachim Andersen,dk DEN,DF,Fulham,28-244,1996,13.7,835,1003,83.3,17916,7258,244,267,91.4,452,480,94.2,132,238,55.5,0,0.2,0.2,-0.2,1,98,3,1,56,Matches,,,,,,,,,
22,Elliot Anderson,eng ENG,MF,Nott'ham Forest,22-085,2002,16.3,569,733,77.6,9250,3289,295,335,88.1,212,265,80.0,45,88,51.1,5,2.8,2.9,+2.2,27,58,10,2,73,Matches,,,,,,,,,
23,André,br BRA,MF,Wolves,23-198,2001,13.6,551,598,92.1,9047,2494,278,292,95.2,219,232,94.4,39,48,81.3,0,0.5,0.4,-0.5,8,48,3,0,47,Matches,,,,,,,,,
24,Michail Antonio,jm JAM,FW,West Ham,34-308,1990,9.3,114,188,60.6,2183,424,52,72,72.2,37,62,59.7,22,31,71.0,1,1.6,0.9,-0.6,9,11,6,2,18,Matches,,,,,,,,,
25,Antony,br BRA,"DF,MF",Manchester Utd,24-341,2000,1.6,56,69,81.2,688,111,45,51,88.2,9,14,64.3,1,1,100.0,0,0.1,0.2,-0.1,3,1,5,2,6,Matches,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches,,,,,,,,,
26,Julian Araujo,mx MEX,DF,Bournemouth,23-170,2001,3.9,131,166,78.9,2297,759,60,67,89.6,61,71,85.9,9,22,40.9,0,0.0,0.0,0.0,0,15,1,0,14,Matches,,,,,,,,,
27,Cameron Archer,eng ENG,FW,Southampton,23-193,2001,11.6,139,172,80.8,1851,280,88,104,84.6,39,44,88.6,4,6,66.7,0,0.3,0.6,-0.3,2,5,6,0,11,Matches,,,,,,,,,
28,Alphonse Areola,fr FRA,GK,West Ham,31-338,1993,11.1,332,447,74.3,8833,6059,77,77,100.0,154,160,96.3,99,202,49.0,0,0.0,0.0,0.0,0,6,0,0,0,Matches,,,,,,,,,
29,Joe Aribo,ng NGA,MF,Southampton,28-193,1996,15.3,607,686,88.5,8739,1561,357,394,90.6,216,237,91.1,19,23,82.6,0,1.5,1.1,-1.5,14,35,3,1,53,Matches,,,,,,,,,
30,Adam Armstrong,eng ENG,"FW,MF",Southampton,27-355,1997,13.9,231,288,80.2,3320,446,138,158,87.3,81,95,85.3,6,13,46.2,2,1.2,0.6,+0.8,9,10,8,2,21,Matches,,,,,,,,,
31,Harrison Armstrong,eng ENG,MF,Everton,18-011,2007,0.5,7,15,46.7,149,15,3,4,75.0,2,5,40.0,2,4,50.0,0,0.1,0.0,-0.1,1,1,0,0,1,Matches,,,,,,,,,
32,Kepa Arrizabalaga,es ESP,GK,Bournemouth,30-119,1994,16.0,367,509,72.1,10615,7474,42,44,95.5,198,203,97.5,126,258,48.8,0,0.0,0.0,0.0,1,4,0,0,0,Matches,,,,,,,,,
33,Brandon Austin,eng ENG,GK,Tottenham,26-022,1999,1.0,22,32,68.8,526,386,7,7,100.0,9,9,100.0,6,16,37.5,0,0.0,0.0,0.0,0,0,0,0,0,Matches,,,,,,,,,
34,Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,27-171,1997,2.8,40,62,64.5,445,81,28,35,80.0,9,18,50.0,0,4,0.0,0,0.1,0.1,-0.1,2,2,1,0,4,Matches,,,,,,,,,
35,Yasin Ayari,se SWE,MF,Brighton,21-116,2003,14.1,497,619,80.3,7423,1963,290,315,92.1,172,207,83.1,21,64,32.8,0,1.2,1.3,-1.2,19,28,11,1,45,Matches,,,,,,,,,
36,Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,33-141,1991,0.2,8,10,80.0,167,4,3,3,100.0,4,6,66.7,1,1,100.0,0,0.0,0.0,0.0,1,0,0,0,0,Matches,,,,,,,,,
37,Jordan Ayew,gh GHA,"FW,MF",Leicester City,33-141,1991,12.0,243,338,71.9,3437,696,142,166,85.5,83,116,71.6,8,28,28.6,0,0.6,1.0,-0.6,9,16,8,4,23,Matches,,,,,,,,,
38,Benoît Badiashile,fr FRA,DF,Chelsea,23-310,2001,2.8,200,223,89.7,3655,1115,77,85,90.6,103,109,94.5,18,24,75.0,0,0.0,0.1,0.0,0,21,1,0,16,Matches,,,,,,,,,
39,Leon Bailey,jm JAM,"FW,MF",Aston Villa,27-174,1997,11.0,235,330,71.2,3646,932,132,161,82.0,83,101,82.2,14,33,42.4,2,1.5,2.9,+0.5,16,13,18,2,30,Matches,,,,,,,,,
40,Carlos Baleba,cm CMR,MF,Brighton,21-027,2004,16.9,609,689,88.4,10620,2787,289,310,93.2,243,269,90.3,66,90,73.3,1,0.7,0.6,+0.3,14,73,15,1,76,Matches,,,,,,,,,
41,Ross Barkley,eng ENG,MF,Aston Villa,31-056,1993,6.2,317,367,86.4,4962,1155,164,186,88.2,134,145,92.4,13,18,72.2,1,0.6,0.4,+0.4,8,29,6,0,32,Matches,,,,,,,,,
42,Harvey Barnes,eng ENG,FW,Newcastle Utd,27-052,1997,8.7,221,283,78.1,3121,1009,144,167,86.2,68,95,71.6,7,12,58.3,1,2.4,2.8,-1.4,11,9,20,4,41,Matches,,,,,,,,,
43,Calvin Bassey,ng NGA,DF,Fulham,25-030,1999,22.0,1272,1417,89.8,22271,7695,561,593,94.6,588,623,94.4,101,160,63.1,0,0.1,0.2,-0.1,2,97,0,0,72,Matches,,,,,,,,,
44,Jan Bednarek,pl POL,DF,Southampton,28-293,1996,18.8,1223,1316,92.9,21221,7184,492,514,95.7,643,680,94.6,76,98,77.6,0,0.5,0.8,-0.5,4,62,0,0,46,Matches,,,,,,,,,
45,Jean-Ricner Bellegarde,fr FRA,"MF,FW",Wolves,26-217,1998,9.6,211,261,80.8,3401,591,117,130,90.0,76,90,84.4,17,26,65.4,2,0.6,0.9,+1.4,11,16,7,3,19,Matches,,,,,,,,,
46,Rodrigo Bentancur,uy URU,MF,Tottenham,27-219,1997,8.6,480,539,89.1,7839,1892,227,248,91.5,219,233,94.0,24,33,72.7,0,0.1,0.5,-0.1,3,55,5,0,54,Matches,,,,,,,,,
47,Sander Berge,no NOR,MF,Fulham,26-351,1998,12.6,553,609,90.8,9982,2462,221,247,89.5,266,283,94.0,55,61,90.2,0,0.5,0.3,-0.5,12,64,2,0,57,Matches,,,,,,,,,
48,Lucas Bergvall,se SWE,MF,Tottenham,18-363,2006,6.2,365,407,89.7,6084,1233,177,189,93.7,151,163,92.6,30,39,76.9,0,0.3,0.5,-0.3,5,29,5,2,30,Matches,,,,,,,,,
49,Victor Bernth Kristiansen,dk DEN,DF,Leicester City,22-045,2002,19.5,793,1013,78.3,12856,4662,396,444,89.2,328,406,80.8,53,119,44.5,1,1.3,1.5,-0.3,16,56,19,14,49,Matches,,,,,,,,,
50,Beto,gw GNB,FW,Everton,26-365,1998,3.5,19,40,47.5,320,14,11,17,64.7,5,16,31.3,3,3,100.0,0,0.0,0.0,0.0,0,1,0,0,2,Matches,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches,,,,,,,,,
51,Philip Billing,dk DEN,MF,Bournemouth,28-233,1996,2.0,70,102,68.6,1022,399,43,51,84.3,19,27,70.4,4,15,26.7,0,1.0,1.0,-1.0,8,9,7,2,15,Matches,,,,,,,,,
52,Yves Bissouma,ml MLI,MF,Tottenham,28-153,1996,10.8,551,617,89.3,8507,2331,297,320,92.8,206,219,94.1,28,48,58.3,0,0.2,0.5,-0.2,4,48,7,0,64,Matches,,,,,,,,,
53,Lamare Bogarde,nl NED,"DF,MF",Aston Villa,21-025,2004,3.0,126,144,87.5,1886,663,77,83,92.8,45,49,91.8,3,8,37.5,0,0.1,0.1,-0.1,2,17,1,0,8,Matches,,,,,,,,,
54,Willy Boly,ci CIV,DF,Nott'ham Forest,33-362,1991,1.3,44,56,78.6,845,382,14,15,93.3,25,27,92.6,4,13,30.8,0,0.0,0.0,0.0,0,2,0,0,2,Matches,,,,,,,,,
55,Sven Botman,nl NED,DF,Newcastle Utd,25-018,2000,2.5,113,128,88.3,1909,767,54,64,84.4,50,51,98.0,6,9,66.7,0,0.0,0.0,0.0,0,6,0,0,3,Matches,,,,,,,,,
56,Jarrod Bowen,eng ENG,"FW,MF",West Ham,28-041,1996,18.4,334,478,69.9,5518,1711,180,220,81.8,113,147,76.9,33,68,48.5,4,4.1,4.3,-0.1,37,29,29,3,62,Matches,,,,,,,,,
57,Conor Bradley,nir NIR,DF,Liverpool,21-205,2003,2.7,169,195,86.7,2465,573,98,105,93.3,64,72,88.9,3,12,25.0,0,0.0,0.2,0.0,0,7,0,0,11,Matches,,,,,,,,,
58,Jarrad Branthwaite,eng ENG,DF,Everton,22-217,2002,13.1,433,525,82.5,8193,3171,172,194,88.7,210,230,91.3,48,87,55.2,0,0.0,0.2,0.0,1,39,1,0,30,Matches,,,,,,,,,
59,James Bree,eng ENG,DF,Southampton,27-111,1997,6.4,299,366,81.7,4766,1273,142,161,88.2,136,155,87.7,16,35,45.7,1,0.8,0.5,+0.2,9,16,4,3,20,Matches,,,,,,,,,
60,Ben Brereton,cl CHI,FW,Southampton,25-287,1999,5.0,128,166,77.1,1836,383,83,95,87.4,36,53,67.9,7,11,63.6,0,0.1,0.1,-0.1,3,9,2,1,9,Matches,,,,,,,,,
61,Nathan Broadhead,wls WAL,"MF,FW",Ipswich Town,26-300,1998,3.5,75,94,79.8,1101,284,47,51,92.2,24,32,75.0,2,7,28.6,0,0.4,0.8,-0.4,4,7,4,0,10,Matches,,,,,,,,,
62,Armando Broja,al ALB,FW,Everton,23-142,2001,1.8,27,34,79.4,334,85,18,21,85.7,7,8,87.5,1,2,50.0,0,0.1,0.1,-0.1,2,2,0,0,2,Matches,,,,,,,,,
63,David Brooks,wls WAL,FW,Bournemouth,27-206,1997,5.6,133,191,69.6,2028,620,75,92,81.5,48,66,72.7,7,18,38.9,0,1.5,1.3,-1.5,11,5,9,4,12,Matches,,,,,,,,,
64,Emi Buendía,ar ARG,"MF,FW",Aston Villa,28-036,1996,1.1,49,60,81.7,624,166,33,36,91.7,12,14,85.7,1,5,20.0,0,0.0,0.0,0.0,1,4,1,0,7,Matches,,,,,,,,,
65,Santiago Bueno,uy URU,DF,Wolves,26-082,1998,14.8,584,669,87.3,10729,3340,211,227,93.0,316,341,92.7,46,78,59.0,0,0.0,0.1,0.0,0,20,1,0,22,Matches,,,,,,,,,
66,Facundo Buonanotte,ar ARG,"FW,MF",Leicester City,20-038,2004,12.7,332,435,76.3,5461,1405,177,208,85.1,114,139,82.0,31,58,53.4,2,2.8,2.0,-0.8,22,31,11,1,41,Matches,,,,,,,,,
67,Cameron Burgess,au AUS,DF,Ipswich Town,29-101,1995,10.0,397,496,80.0,6997,3284,172,191,90.1,182,213,85.4,37,78,47.4,1,0.3,0.2,+0.7,3,30,2,0,27,Matches,,,,,,,,,
68,Dan Burn,eng ENG,DF,Newcastle Utd,32-266,1992,22.0,1073,1183,90.7,19172,6739,387,421,91.9,619,642,96.4,59,93,63.4,0,0.2,0.7,-0.2,3,16,6,0,38,Matches,,,,,,,,,
69,Wes Burns,wls WAL,"FW,DF",Ipswich Town,30-068,1994,10.3,153,253,60.5,2416,597,82,102,80.4,51,78,65.4,14,36,38.9,1,1.6,1.2,-0.6,10,8,8,7,8,Matches,,,,,,,,,
70,Moisés Caicedo,ec ECU,MF,Chelsea,23-089,2001,22.6,1230,1386,88.7,20962,5574,557,608,91.6,543,590,92.0,102,135,75.6,2,2.2,1.7,-0.2,20,148,22,2,120,Matches,,,,,,,,,
71,Tom Cairney,sct SCO,MF,Fulham,34-010,1991,4.4,410,446,91.9,6433,1387,229,243,94.2,151,159,95.0,26,33,78.8,0,0.7,0.9,-0.7,7,42,7,3,43,Matches,,,,,,,,,
72,Jens Cajuste,se SWE,MF,Ipswich Town,25-173,1999,10.7,321,390,82.3,5311,996,146,168,86.9,151,174,86.8,17,32,53.1,0,0.3,0.3,-0.3,6,22,3,0,27,Matches,,,,,,,,,
73,Riccardo Calafiori,it ITA,DF,Arsenal,22-256,2002,8.4,356,420,84.8,5278,1383,209,227,92.1,125,150,83.3,16,22,72.7,1,0.2,0.6,+0.8,4,29,5,1,36,Matches,,,,,,,,,
74,Dominic Calvert-Lewin,eng ENG,FW,Everton,27-320,1997,17.5,174,278,62.6,2035,488,126,180,70.0,35,60,58.3,3,8,37.5,1,0.6,0.7,+0.4,7,19,5,1,19,Matches,,,,,,,,,
75,Diego Carlos,br BRA,DF,Aston Villa,31-321,1993,9.2,534,603,88.6,10941,4103,138,151,91.4,341,362,94.2,54,83,65.1,0,0.0,0.1,0.0,0,23,1,0,34,Matches,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches,,,,,,,,,
76,Fabio Carvalho,pt POR,"FW,MF",Brentford,22-153,2002,4.8,116,164,70.7,1676,419,71,87,81.6,32,42,76.2,7,18,38.9,1,0.5,0.5,+0.5,3,11,5,1,16,Matches,,,,,,,,,
77,Casemiro,br BRA,MF,Manchester Utd,32-342,1992,9.3,459,579,79.3,7687,2420,217,248,87.5,192,226,85.0,36,58,62.1,0,2.1,1.5,-2.1,16,49,13,5,44,Matches,,,,,,,,,
78,Kaelan Casey,eng ENG,DF,West Ham,20-094,2004,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,,,,,,,,,
79,Matty Cash,pl POL,DF,Aston Villa,27-176,1997,14.0,455,576,79.0,7367,2190,233,259,90.0,192,241,79.7,23,53,43.4,1,1.0,1.0,0.0,8,25,4,3,28,Matches,,,,,,,,,
80,Timothy Castagne,be BEL,DF,Fulham,29-056,1995,9.0,444,537,82.7,7139,2128,225,246,91.5,184,214,86.0,25,47,53.2,1,1.1,0.3,-0.1,6,25,2,2,29,Matches,,,,,,,,,
81,Trevoh Chalobah,eng ENG,DF,Crystal Palace,25-209,1999,11.8,349,442,79.0,6831,2195,125,141,88.7,178,209,85.2,42,82,51.2,0,0.4,0.3,-0.4,4,27,2,1,34,Matches,,,,,,,,,
82,Trevoh Chalobah,eng ENG,DF,Chelsea,25-209,1999,2.0,123,136,90.4,2156,614,51,54,94.4,63,65,96.9,8,15,53.3,1,1.1,0.2,-0.1,2,4,0,0,5,Matches,,,,,,,,,
83,Conor Chaplin,eng ENG,"MF,FW",Ipswich Town,27-349,1997,6.8,170,229,74.2,2652,699,85,101,84.2,74,94,78.7,6,17,35.3,1,0.6,0.6,+0.4,6,17,7,2,25,Matches,,,,,,,,,
84,Federico Chiesa,it ITA,FW,Liverpool,27-097,1997,0.3,15,18,83.3,168,40,11,12,91.7,2,3,66.7,1,1,100.0,0,0.0,0.1,0.0,0,2,0,0,1,Matches,,,,,,,,,
85,Chiquinho,pt POR,MF,Wolves,24-360,2000,0.1,3,3,100.0,71,22,1,1,100.0,1,1,100.0,1,1,100.0,0,0.0,0.0,0.0,1,0,1,1,0,Matches,,,,,,,,,
86,Hamza Choudhury,eng ENG,"MF,DF",Leicester City,27-121,1997,1.5,72,84,85.7,991,249,47,50,94.0,23,29,79.3,2,4,50.0,0,0.4,0.2,-0.4,2,10,1,1,3,Matches,,,,,,,,,
87,Ryan Christie,sct SCO,MF,Bournemouth,29-343,1995,18.6,647,817,79.2,11515,3288,283,322,87.9,294,333,88.3,64,128,50.0,2,2.1,2.0,-0.1,29,94,22,2,111,Matches,,,,,,,,,
88,Harry Clarke,eng ENG,DF,Ipswich Town,23-334,2001,4.2,190,236,80.5,3442,1226,87,95,91.6,77,88,87.5,23,40,57.5,0,0.0,0.1,0.0,1,21,1,0,14,Matches,,,,,,,,,
89,Jack Clarke,eng ENG,"FW,MF",Ipswich Town,24-068,2000,6.7,149,195,76.4,2401,602,80,90,88.9,58,64,90.6,8,21,38.1,2,1.2,0.7,+0.8,10,12,3,0,17,Matches,,,,,,,,,
90,Nathaniel Clyne,eng ENG,"DF,MF",Crystal Palace,33-300,1991,4.4,117,158,74.1,2184,878,49,63,77.8,55,61,90.2,12,24,50.0,0,0.1,0.1,-0.1,2,10,1,1,6,Matches,,,,,,,,,
91,Conor Coady,eng ENG,DF,Leicester City,31-340,1993,8.0,391,437,89.5,6765,2464,169,176,96.0,198,207,95.7,24,47,51.1,0,0.1,0.5,-0.1,1,20,2,0,19,Matches,,,,,,,,,
92,Séamus Coleman,ie IRL,DF,Everton,36-111,1988,2.2,57,79,72.2,1046,504,27,29,93.1,24,31,77.4,6,16,37.5,0,0.0,0.0,0.0,0,6,0,0,8,Matches,,,,,,,,,
93,Nathan Collins,ie IRL,DF,Brentford,23-275,2001,23.0,1106,1287,85.9,20579,7142,394,450,87.6,628,675,93.0,76,133,57.1,1,1.4,1.1,-0.4,7,69,6,2,81,Matches,,,,,,,,,
94,Toby Collyer,eng ENG,MF,Manchester Utd,21-027,2004,1.4,56,63,88.9,858,95,26,29,89.7,24,25,96.0,3,4,75.0,0,0.1,0.0,-0.1,1,2,1,0,5,Matches,,,,,,,,,
95,Levi Colwill,eng ENG,DF,Chelsea,21-339,2003,21.0,1440,1604,89.8,26090,9639,506,540,93.7,842,888,94.8,79,135,58.5,1,0.9,1.1,+0.1,7,99,6,2,95,Matches,,,,,,,,,
96,Lewis Cook,eng ENG,"MF,DF",Bournemouth,27-362,1997,20.6,758,998,76.0,13399,4559,323,378,85.4,352,415,84.8,71,168,42.3,3,3.3,2.8,-0.3,37,100,17,4,115,Matches,,,,,,,,,
97,Maxwel Cornet,ci CIV,FW,Southampton,28-125,1996,0.8,17,22,77.3,262,37,9,10,90.0,6,8,75.0,1,2,50.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches,,,,,,,,,
98,Vladimír Coufal,cz CZE,DF,West Ham,32-161,1992,7.4,280,369,75.9,4715,1921,138,158,87.3,113,147,76.9,24,52,46.2,0,0.6,0.9,-0.6,6,27,12,7,28,Matches,,,,,,,,,
99,Woyo Coulibaly,fr FRA,DF,Leicester City,25-255,1999,0.0,1,2,50.0,14,11,1,1,100.0,0,1,0.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,,,,,,,,,
100,Aaron Cresswell,eng ENG,DF,West Ham,35-046,1989,2.3,111,148,75.0,2258,868,46,53,86.8,46,53,86.8,19,38,50.0,0,0.2,0.4,-0.2,4,12,2,0,11,Matches,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches,,,,,,,,,
101,Marc Cucurella,es ESP,DF,Chelsea,26-192,1998,19.0,973,1100,88.5,14910,4127,511,542,94.3,406,455,89.2,35,59,59.3,1,1.3,1.7,-0.3,11,71,5,1,64,Matches,,,,,,,,,
102,Jorge Cuenca,es ESP,DF,Fulham,25-074,1999,1.0,30,37,81.1,575,178,7,8,87.5,17,21,81.0,4,6,66.7,0,0.0,0.0,0.0,0,0,0,0,3,Matches,,,,,,,,,
103,Matheus Cunha,br BRA,"MF,FW",Wolves,25-248,1999,19.8,527,736,71.6,8536,2932,299,357,83.8,152,195,77.9,58,126,46.0,4,5.7,3.7,-1.7,36,68,41,9,91,Matches,,,,,,,,,
104,Patson Daka,zm ZAM,"FW,MF",Leicester City,26-113,1998,3.1,37,56,66.1,585,106,18,26,69.2,15,20,75.0,2,2,100.0,0,0.0,0.0,0.0,0,1,1,0,3,Matches,,,,,,,,,
105,Diogo Dalot,pt POR,DF,Manchester Utd,25-318,1999,21.6,957,1177,81.3,15516,4909,488,539,90.5,375,450,83.3,68,124,54.8,1,1.4,1.6,-0.4,15,42,14,3,69,Matches,,,,,,,,,
106,Mikkel Damsgaard,dk DEN,"MF,FW",Brentford,24-211,2000,18.9,656,883,74.3,10845,4111,345,400,86.3,231,308,75.0,66,128,51.6,7,5.5,3.8,+1.5,37,87,31,6,138,Matches,,,,,,,,,
107,Danilo,br BRA,MF,Nott'ham Forest,23-276,2001,0.2,3,3,100.0,85,6,0,0,,2,2,100.0,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches,,,,,,,,,
108,Jayden Danns,eng ENG,MF,Liverpool,19-014,2006,0.1,1,1,100.0,6,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,,,,,,,,,
109,Ben Davies,wls WAL,DF,Tottenham,31-281,1993,5.0,327,371,88.1,6240,2628,107,117,91.5,188,202,93.1,29,42,69.0,0,0.0,0.2,0.0,0,22,1,0,21,Matches,,,,,,,,,
110,Leif Davis,eng ENG,DF,Ipswich Town,25-018,2000,22.5,658,915,71.9,11286,4499,308,354,87.0,282,370,76.2,57,144,39.6,2,3.4,3.6,-1.4,41,24,20,9,42,Matches,,,,,,,,,
111,Craig Dawson,eng ENG,DF,Wolves,34-269,1990,10.8,484,559,86.6,9745,3180,149,161,92.5,267,287,93.0,57,95,60.0,0,0.0,0.1,0.0,2,22,1,0,20,Matches,,,,,,,,,
112,Kevin De Bruyne,be BEL,MF,Manchester City,33-216,1991,11.0,587,760,77.2,9965,2909,299,349,85.7,231,290,79.7,51,83,61.4,6,6.0,4.5,0.0,39,55,42,8,106,Matches,,,,,,,,,
113,Liam Delap,eng ENG,FW,Ipswich Town,21-357,2003,18.6,116,189,61.4,1686,415,61,90,67.8,41,64,64.1,5,14,35.7,2,1.6,1.0,+0.4,17,10,5,0,18,Matches,,,,,,,,,
114,Sepp van den Berg,nl NED,DF,Brentford,23-041,2001,17.9,640,761,84.1,10590,3486,304,347,87.6,295,335,88.1,34,57,59.6,0,0.2,0.4,-0.2,4,39,3,1,48,Matches,,,,,,,,,
115,Justin Devenny,nir NIR,MF,Crystal Palace,21-111,2003,3.0,81,115,70.4,1330,369,43,53,81.1,27,38,71.1,7,17,41.2,0,0.3,0.3,-0.3,5,9,2,1,8,Matches,,,,,,,,,
116,Kiernan Dewsbury-Hall,eng ENG,MF,Chelsea,26-146,1998,1.5,70,82,85.4,1071,177,41,45,91.1,27,30,90.0,2,5,40.0,1,1.0,0.2,0.0,2,7,1,0,10,Matches,,,,,,,,,
