,Total,Short,Medium,Long,,Expected,,,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
117,Rúben Dias,pt POR,DF,Manchester City,27-257,1997,13.1,1141,1215,93.9,19406,6309,489,505,96.8,579,606,95.5,56,75,74.7,0,0.3,0.7,-0.3,5,106,5,0,78,Matches,,,,,,,,,
118,Luis Díaz,co COL,FW,Liverpool,28-013,1997,14.9,408,479,85.2,6331,1368,232,257,90.3,128,150,85.3,32,38,84.2,2,2.1,2.1,-0.1,27,29,23,3,62,Matches,,,,,,,,,
119,Tyler Dibling,eng ENG,"FW,MF",Southampton,18-320,2006,13.7,313,403,77.7,4827,1036,166,191,86.9,123,148,83.1,16,36,44.4,0,1.3,1.1,-1.3,14,20,16,1,41,Matches,,,,,,,,,
120,Lucas Digne,fr FRA,DF,Aston Villa,31-190,1993,18.2,683,917,74.5,11177,3484,340,384,88.5,284,362,78.5,46,115,40.0,3,3.5,2.9,-0.5,27,27,22,14,36,Matches,,,,,,,,,
121,Issa Diop,fr FRA,DF,Fulham,28-017,1997,11.9,544,624,87.2,10140,3519,191,208,91.8,312,335,93.1,38,73,52.1,0,0.1,0.1,-0.1,2,33,1,0,23,Matches,,,,,,,,,
122,Axel Disasi,fr FRA,DF,Chelsea,26-321,1998,4.0,266,293,90.8,4218,1368,136,144,94.4,117,126,92.9,9,13,69.2,0,0.1,0.1,-0.1,2,20,2,0,16,Matches,,,,,,,,,
123,Roman Dixon,eng ENG,DF,Everton,20-031,2004,1.0,11,19,57.9,205,111,6,8,75.0,4,8,50.0,1,3,33.3,0,0.0,0.0,0.0,0,3,0,0,0,Matches,,,,,,,,,
124,Matt Doherty,ie IRL,DF,Wolves,33-010,1992,11.9,539,666,80.9,10020,3174,221,249,88.8,245,295,83.1,64,96,66.7,1,1.4,0.7,-0.4,10,59,10,1,47,Matches,,,,,,,,,
125,Jeremy Doku,be BEL,"FW,MF",Manchester City,22-244,2002,8.8,311,391,79.5,4358,756,207,241,85.9,95,116,81.9,7,11,63.6,4,2.3,1.8,+1.7,16,3,28,3,36,Matches,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches,,,,,,,,,
126,Nicolás Domínguez,ar ARG,"MF,FW",Nott'ham Forest,26-212,1998,12.2,485,560,86.6,6945,2025,286,313,91.4,149,168,88.7,24,37,64.9,0,0.6,0.9,-0.6,5,44,5,0,45,Matches,,,,,,,,,
127,Alfie Dorrington,eng ENG,DF,Tottenham,19-281,2005,0.2,15,16,93.8,304,39,6,7,85.7,7,7,100.0,2,2,100.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches,,,,,,,,,
128,Abdoulaye Doucouré,ml MLI,MF,Everton,32-025,1993,17.7,485,597,81.2,7610,1443,244,286,85.3,198,233,85.0,29,38,76.3,0,0.9,0.6,-0.9,17,30,8,0,51,Matches,,,,,,,,,
129,Cheick Doucouré,ml MLI,MF,Crystal Palace,25-018,2000,5.0,174,204,85.3,2909,823,84,94,89.4,70,78,89.7,16,20,80.0,0,0.0,0.1,0.0,1,17,3,0,19,Matches,,,,,,,,,
130,Flynn Downes,eng ENG,MF,Southampton,26-006,1999,15.9,714,788,90.6,10555,2112,411,440,93.4,249,269,92.6,29,43,67.4,0,0.9,1.1,-0.9,12,42,9,0,50,Matches,,,,,,,,,
131,Tommy Doyle,eng ENG,MF,Wolves,23-101,2001,4.9,287,352,81.5,6044,1862,98,104,94.2,122,136,89.7,60,90,66.7,1,0.5,0.3,+0.5,7,39,3,0,38,Matches,,,,,,,,,
132,Radu Drăgușin,ro ROU,DF,Tottenham,22-358,2002,12.9,647,762,84.9,12220,4726,206,223,92.4,394,426,92.5,39,96,40.6,0,0.3,0.1,-0.3,2,47,0,0,36,Matches,,,,,,,,,
133,Martin Dúbravka,sk SVK,GK,Newcastle Utd,36-011,1989,8.0,208,260,80.0,4591,2404,49,49,100.0,123,123,100.0,35,87,40.2,0,0.0,0.0,0.0,0,0,0,0,0,Matches,,,,,,,,,
134,Lewis Dunk,eng ENG,DF,Brighton,33-066,1991,16.4,1265,1385,91.3,23504,7778,479,495,96.8,670,702,95.4,104,164,63.4,0,0.5,0.7,-0.5,6,117,4,0,103,Matches,,,,,,,,,
135,Jhon Durán,co COL,FW,Aston Villa,21-044,2003,6.8,108,156,69.2,1485,307,61,77,79.2,34,50,68.0,5,11,45.5,0,0.2,0.2,-0.2,4,10,1,0,13,Matches,,,,,,,,,
136,Ederson,br BRA,GK,Manchester City,31-162,1993,15.0,481,558,86.2,11872,7854,91,91,100.0,277,283,97.9,112,182,61.5,2,0.5,0.0,+1.5,2,14,1,0,1,Matches,,,,,,,,,
137,George Edmundson,eng ENG,DF,Ipswich Town,27-148,1997,0.0,1,2,50.0,9,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,,,,,,,,,
138,Odsonne Édouard,fr FRA,"MF,FW",Crystal Palace,27-010,1998,1.3,17,28,60.7,230,46,11,16,68.8,4,7,57.1,1,1,100.0,0,0.0,0.0,0.0,1,2,0,0,4,Matches,,,,,,,,,
139,Odsonne Édouard,fr FRA,FW,Leicester City,27-010,1998,0.3,6,8,75.0,59,5,3,4,75.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,1,0,0,0,1,Matches,,,,,,,,,
140,Samuel Edozie,eng ENG,"DF,FW",Southampton,21-364,2003,0.7,25,33,75.8,316,67,19,21,90.5,6,7,85.7,0,3,0.0,0,0.1,0.2,-0.1,1,0,3,0,4,Matches,,,,,,,,,
141,Ronnie Edwards,eng ENG,DF,Southampton,21-304,2003,0.1,5,5,100.0,109,0,0,0,,5,5,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,,,,,,,,,
142,Anthony Elanga,se SWE,"FW,MF",Nott'ham Forest,22-274,2002,15.2,284,445,63.8,4145,1505,167,201,83.1,77,126,61.1,25,73,34.2,5,2.5,2.4,+2.5,29,15,14,3,28,Matches,,,,,,,,,
143,Harvey Elliott,eng ENG,"MF,FW",Liverpool,21-297,2003,0.9,78,99,78.8,1474,360,42,46,91.3,21,30,70.0,13,18,72.2,1,0.8,0.4,+0.2,4,6,3,0,11,Matches,,,,,,,,,
144,Yunus Emre Konak,tr TUR,"MF,FW",Brentford,19-016,2006,0.2,12,17,70.6,201,62,7,9,77.8,3,4,75.0,2,3,66.7,0,0.0,0.0,0.0,0,1,0,0,2,Matches,,,,,,,,,
145,Julio Enciso,py PAR,MF,Ipswich Town,21-003,2004,0.1,5,8,62.5,109,40,1,2,50.0,2,2,100.0,1,1,100.0,1,0.3,0.2,+0.7,1,0,0,0,0,Matches,,,,,,,,,
146,Julio Enciso,py PAR,"MF,FW",Brighton,21-003,2004,3.3,99,150,66.0,1464,392,61,75,81.3,29,40,72.5,5,22,22.7,0,0.2,0.3,-0.2,5,13,4,1,14,Matches,,,,,,,,,
147,Wataru Endo,jp JPN,MF,Liverpool,31-352,1993,0.9,54,57,94.7,834,210,28,29,96.6,20,21,95.2,3,3,100.0,0,0.0,0.0,0.0,1,5,1,0,7,Matches,,,,,,,,,
148,Christian Eriksen,dk DEN,MF,Manchester Utd,32-347,1992,7.0,353,434,81.3,6077,1855,189,201,94.0,120,146,82.2,35,72,48.6,1,2.1,1.5,-1.1,16,36,2,0,29,Matches,,,,,,,,,
149,Pervis Estupiñán,ec ECU,DF,Brighton,27-005,1998,15.7,812,968,83.9,12241,3729,485,521,93.1,262,314,83.4,47,89,52.8,1,1.8,1.7,-0.8,19,52,23,17,71,Matches,,,,,,,,,
150,Evanilson,br BRA,FW,Bournemouth,25-112,1999,15.2,133,196,67.9,1630,331,89,121,73.6,27,40,67.5,7,8,87.5,0,1.1,1.3,-1.1,16,9,2,0,13,Matches,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches,,,,,,,,,
151,Jonny Evans,nir NIR,DF,Manchester Utd,37-023,1988,3.2,174,196,88.8,2809,784,82,87,94.3,81,90,90.0,6,12,50.0,0,0.0,0.0,0.0,0,9,1,0,8,Matches,,,,,,,,,
152,Eberechi Eze,eng ENG,"MF,FW",Crystal Palace,26-211,1998,16.6,495,663,74.7,8421,2207,236,281,84.0,205,245,83.7,44,97,45.4,5,3.3,2.7,+1.7,36,35,25,2,69,Matches,,,,,,,,,
153,Łukasz Fabiański,pl POL,GK,West Ham,39-283,1985,11.9,304,454,67.0,8756,6129,53,53,100.0,147,148,99.3,104,252,41.3,0,0.0,0.0,0.0,0,4,0,0,0,Matches,,,,,,,,,
154,Wout Faes,be BEL,DF,Leicester City,26-298,1998,16.3,710,819,86.7,12944,4679,289,309,93.5,361,380,95.0,59,113,52.2,0,0.1,0.4,-0.1,3,53,5,0,54,Matches,,,,,,,,,
155,Abdul Fatawu Issahaku,gh GHA,FW,Leicester City,20-324,2004,6.4,123,197,62.4,2150,601,59,81,72.8,45,59,76.3,16,33,48.5,2,1.6,1.4,+0.4,6,7,7,2,17,Matches,,,,,,,,,
156,João Félix,pt POR,"FW,MF",Chelsea,25-077,1999,4.1,171,199,85.9,2588,663,95,105,90.5,62,68,91.2,10,15,66.7,1,1.0,0.5,0.0,6,22,8,0,26,Matches,,,,,,,,,
157,Evan Ferguson,ie IRL,FW,Brighton,20-099,2004,2.5,35,48,72.9,389,44,25,30,83.3,6,8,75.0,1,3,33.3,0,0.4,0.4,-0.4,3,1,0,0,1,Matches,,,,,,,,,
158,Bruno Fernandes,pt POR,"MF,FW",Manchester Utd,30-140,1994,19.4,891,1185,75.2,14957,5258,456,524,87.0,315,391,80.6,89,184,48.4,6,4.6,4.0,+1.4,46,104,37,6,156,Matches,,,,,,,,,
159,Mateus Fernandes,pt POR,MF,Southampton,20-200,2004,18.3,653,816,80.0,10970,2696,313,357,87.7,248,288,86.1,63,115,54.8,2,1.8,2.4,+0.2,20,54,13,3,87,Matches,,,,,,,,,
160,Enzo Fernández,ar ARG,MF,Chelsea,24-009,2001,17.8,909,1109,82.0,16083,4405,422,467,90.4,363,428,84.8,101,157,64.3,4,3.7,3.9,+0.3,42,95,21,1,126,Matches,,,,,,,,,
161,Mark Flekken,nl NED,GK,Brentford,31-227,1993,21.4,786,1059,74.2,22469,14945,104,106,98.1,427,441,96.8,255,506,50.4,1,0.2,0.1,+0.8,1,29,1,0,0,Matches,,,,,,,,,
162,Phil Foden,eng ENG,"MF,FW",Manchester City,24-243,2000,14.4,588,694,84.7,9227,2047,348,381,91.3,181,201,90.0,50,83,60.2,2,3.9,4.7,-1.9,35,29,31,5,73,Matches,,,,,,,,,
163,Wesley Fofana,fr FRA,DF,Chelsea,24-040,2000,11.3,630,703,89.6,10682,2949,264,283,93.3,338,367,92.1,22,35,62.9,0,0.4,0.2,-0.4,5,44,1,0,25,Matches,,,,,,,,,
164,Carlos Forbs,pt POR,"MF,FW",Wolves,20-313,2004,2.6,56,87,64.4,739,228,36,48,75.0,18,25,72.0,1,5,20.0,0,0.0,0.1,0.0,1,2,3,1,8,Matches,,,,,,,,,
165,Fraser Forster,eng ENG,GK,Tottenham,36-315,1988,7.0,168,198,84.8,3349,2105,54,55,98.2,86,90,95.6,23,47,48.9,0,0.0,0.0,0.0,0,1,0,0,0,Matches,,,,,,,,,
166,Ryan Fraser,sct SCO,"FW,DF",Southampton,30-337,1994,3.4,77,103,74.8,1121,208,43,46,93.5,28,40,70.0,3,10,30.0,0,0.1,0.1,-0.1,2,3,1,0,8,Matches,,,,,,,,,
167,Niclas Füllkrug,de GER,FW,West Ham,31-352,1993,4.1,53,77,68.8,723,93,29,39,74.4,17,27,63.0,2,4,50.0,1,1.0,0.2,0.0,7,3,1,0,4,Matches,,,,,,,,,
168,Cody Gakpo,nl NED,FW,Liverpool,25-264,1999,13.7,334,437,76.4,4736,1148,209,240,87.1,97,144,67.4,16,28,57.1,3,3.4,2.7,-0.4,28,16,19,6,37,Matches,,,,,,,,,
169,Idrissa Gana Gueye,sn SEN,MF,Everton,35-122,1989,18.5,672,782,85.9,11376,2993,334,366,91.3,275,306,89.9,53,76,69.7,2,1.1,0.9,+0.9,12,86,6,2,85,Matches,,,,,,,,,
170,Alejandro Garnacho,ar ARG,"FW,MF",Manchester Utd,20-209,2004,12.8,333,424,78.5,4769,552,214,236,90.7,83,101,82.2,20,37,54.1,1,2.4,1.2,-1.4,18,12,8,1,21,Matches,,,,,,,,,
171,James Garner,eng ENG,"DF,MF",Everton,23-319,2001,3.0,69,103,67.0,1118,605,31,38,81.6,31,42,73.8,6,12,50.0,0,0.0,0.1,0.0,1,6,1,1,3,Matches,,,,,,,,,
172,Tyrique George,eng ENG,FW,Chelsea,18-357,2006,0.1,4,4,100.0,49,1,3,3,100.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,,,,,,,,,
173,Morgan Gibbs-White,eng ENG,MF,Nott'ham Forest,24-365,2000,16.7,550,705,78.0,7960,2546,334,393,85.0,155,195,79.5,36,59,61.0,4,3.2,3.7,+0.8,32,78,24,3,90,Matches,,,,,,,,,
174,Billy Gilmour,sct SCO,MF,Brighton,23-229,2001,1.1,58,67,86.6,980,346,36,38,94.7,18,22,81.8,4,7,57.1,0,0.0,0.0,0.0,0,12,2,0,11,Matches,,,,,,,,,
175,Ben Godfrey,eng ENG,DF,Ipswich Town,27-011,1998,0.7,37,44,84.1,495,185,25,28,89.3,11,13,84.6,0,0,,0,0.0,0.0,0.0,0,3,1,0,3,Matches,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches,,,,,,,,,
176,Martial Godo,eng ENG,FW,Fulham,21-318,2003,0.2,3,5,60.0,41,2,2,3,66.7,1,1,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches,,,,,,,,,
177,João Gomes,br BRA,MF,Wolves,23-349,2001,20.6,815,966,84.4,12250,3208,461,517,89.2,270,315,85.7,50,75,66.7,1,0.8,1.3,+0.2,15,82,15,1,107,Matches,,,,,,,,,
178,Rodrigo Gomes,pt POR,"DF,FW",Wolves,21-203,2003,6.1,139,214,65.0,2055,700,82,106,77.4,48,72,66.7,6,22,27.3,0,0.7,0.5,-0.7,9,9,11,3,22,Matches,,,,,,,,,
179,Toti Gomes,pt POR,DF,Wolves,26-010,1999,14.0,660,788,83.8,11521,4219,285,319,89.3,313,342,91.5,52,94,55.3,1,0.6,0.4,+0.4,4,41,2,0,36,Matches,,,,,,,,,
180,Diego Gómez,py PAR,MF,Brighton,21-305,2003,0.0,1,2,50.0,13,1,1,2,50.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,,,,,,,,,
181,Joe Gomez,eng ENG,DF,Liverpool,27-248,1997,5.8,377,425,88.7,6689,2299,155,170,91.2,191,204,93.6,26,42,61.9,0,0.1,0.1,-0.1,2,29,0,0,35,Matches,,,,,,,,,
182,Anthony Gordon,eng ENG,FW,Newcastle Utd,23-337,2001,19.6,509,708,71.9,7784,2619,281,334,84.1,175,226,77.4,35,88,39.8,5,4.8,4.4,+0.2,46,45,41,15,66,Matches,,,,,,,,,
183,Ryan Gravenberch,nl NED,MF,Liverpool,22-255,2002,21.1,1101,1230,89.5,16305,4316,619,662,93.5,408,445,91.7,41,67,61.2,2,2.6,2.7,-0.6,19,97,26,1,117,Matches,,,,,,,,,
184,Archie Gray,eng ENG,DF,Tottenham,18-320,2006,8.7,569,631,90.2,9702,3188,222,239,92.9,314,336,93.5,26,41,63.4,0,0.0,0.1,0.0,0,18,0,0,19,Matches,,,,,,,,,
185,Jack Grealish,eng ENG,"FW,MF",Manchester City,29-138,1995,6.8,321,369,87.0,4826,815,206,221,93.2,101,115,87.8,13,21,61.9,1,1.7,1.5,-0.7,22,16,13,0,43,Matches,,,,,,,,,
186,Jacob Greaves,eng ENG,DF,Ipswich Town,24-136,2000,13.0,491,573,85.7,8028,2947,242,265,91.3,226,245,92.2,19,46,41.3,0,0.0,0.1,0.0,1,30,0,0,27,Matches,,,,,,,,,
187,Brajan Gruda,de GER,"FW,MF",Brighton,20-240,2004,4.1,101,139,72.7,1297,433,68,81,84.0,22,32,68.8,5,15,33.3,0,0.5,0.5,-0.5,10,4,7,1,13,Matches,,,,,,,,,
188,Gonçalo Guedes,pt POR,"MF,FW",Wolves,28-058,1996,6.9,162,225,72.0,2819,732,78,96,81.3,66,85,77.6,13,28,46.4,4,1.0,0.6,+3.0,10,13,13,5,27,Matches,,,,,,,,,
189,Marc Guéhi,eng ENG,DF,Crystal Palace,24-197,2000,21.0,946,1138,83.1,18882,7795,314,347,90.5,512,573,89.4,114,200,57.0,1,0.5,0.5,+0.5,7,79,7,2,83,Matches,,,,,,,,,
190,Luis Guilherme,br BRA,"MF,FW",West Ham,18-352,2006,0.6,17,20,85.0,250,70,13,14,92.9,3,5,60.0,1,1,100.0,0,0.0,0.1,0.0,1,0,1,1,1,Matches,,,,,,,,,
191,Bruno Guimarães,br BRA,MF,Newcastle Utd,27-071,1997,22.2,941,1136,82.8,15532,5223,470,524,89.7,368,414,88.9,73,125,58.4,6,5.0,3.6,+1.0,35,113,43,4,171,Matches,,,,,,,,,
192,Marc Guiu,es ESP,FW,Chelsea,19-022,2006,0.4,4,8,50.0,40,0,4,7,57.1,0,1,0.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,,,,,,,,,
193,İlkay Gündoğan,de GER,MF,Manchester City,34-094,1990,14.9,955,1074,88.9,14645,2729,536,569,94.2,344,368,93.5,54,96,56.3,1,1.9,2.9,-0.9,24,63,14,1,88,Matches,,,,,,,,,
194,Malo Gusto,fr FRA,DF,Chelsea,21-252,2003,14.1,804,932,86.3,13084,3298,402,426,94.4,331,379,87.3,51,80,63.8,1,0.9,1.1,+0.1,12,75,10,4,73,Matches,,,,,,,,,
195,Joško Gvardiol,hr CRO,DF,Manchester City,23-003,2002,21.5,1452,1600,90.8,22687,5673,758,805,94.2,624,673,92.7,51,77,66.2,0,1.5,2.1,-1.5,18,135,16,1,157,Matches,,,,,,,,,
196,Erling Haaland,no NOR,FW,Manchester City,24-189,2000,22.6,185,283,65.4,2256,449,130,186,69.9,40,61,65.6,4,6,66.7,2,2.1,1.3,-0.1,22,8,4,1,14,Matches,,,,,,,,,
197,Lewis Hall,eng ENG,DF,Newcastle Utd,20-140,2004,20.4,1120,1371,81.7,18977,7491,557,611,91.2,458,538,85.1,88,171,51.5,3,3.5,3.3,-0.5,29,100,13,3,106,Matches,,,,,,,,,
198,Ali Al Hamadi,iq IRQ,FW,Ipswich Town,22-331,2002,1.5,25,30,83.3,278,29,20,23,87.0,5,7,71.4,0,0,,0,0.1,0.0,-0.1,2,0,0,0,3,Matches,,,,,,,,,
199,Marcus Harness,eng ENG,MF,Ipswich Town,28-337,1996,0.5,10,16,62.5,89,23,9,11,81.8,0,1,0.0,0,1,0.0,0,0.0,0.1,0.0,0,0,2,0,2,Matches,,,,,,,,,
200,Jack Harrison,eng ENG,FW,Everton,28-067,1996,11.1,180,281,64.1,2614,1010,113,137,82.5,44,69,63.8,12,34,35.3,0,2.0,1.4,-2.0,14,17,10,1,25,Matches,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches,,,,,,,,,
201,Taylor Harwood-Bellis,eng ENG,DF,Southampton,22-362,2002,20.6,1349,1530,88.2,24797,8951,509,543,93.7,714,779,91.7,114,183,62.3,0,0.8,0.5,-0.8,11,134,6,0,88,Matches,,,,,,,,,
202,Kai Havertz,de GER,"FW,MF",Arsenal,25-229,1999,19.4,375,483,77.6,4526,954,261,312,83.7,89,109,81.7,5,11,45.5,2,2.3,1.4,-0.3,15,26,8,1,54,Matches,,,,,,,,,
203,Jan Paul van Hecke,nl NED,DF,Brighton,24-232,2000,19.9,1312,1471,89.2,25892,9854,444,477,93.1,714,764,93.5,146,206,70.9,1,1.0,1.0,0.0,12,138,9,4,154,Matches,,,,,,,,,
204,Hwang Hee-chan,kr KOR,"MF,FW",Wolves,29-000,1996,6.8,147,181,81.2,1948,369,95,111,85.6,40,46,87.0,4,4,100.0,0,0.1,0.3,-0.1,3,6,4,2,11,Matches,,,,,,,,,
205,Dean Henderson,eng ENG,GK,Crystal Palace,27-320,1997,22.0,444,720,61.7,11905,7727,108,108,100.0,217,218,99.5,115,389,29.6,0,0.0,0.0,0.0,1,7,0,0,0,Matches,,,,,,,,,
206,Rico Henry,eng ENG,DF,Brentford,27-202,1997,0.0,2,5,40.0,44,28,1,3,33.3,1,1,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches,,,,,,,,,
207,Mads Hermansen,dk DEN,GK,Leicester City,24-199,2000,15.5,382,596,64.1,9898,7381,99,101,98.0,166,174,95.4,117,317,36.9,0,0.0,0.0,0.0,0,9,0,0,0,Matches,,,,,,,,,
208,Son Heung-min,kr KOR,FW,Tottenham,32-202,1992,15.6,506,624,81.1,7209,1898,312,341,91.5,143,174,82.2,28,50,56.0,6,5.8,3.9,+0.2,33,24,40,5,79,Matches,,,,,,,,,
209,James Hill,eng ENG,"DF,MF",Bournemouth,23-016,2002,2.0,55,93,59.1,1018,464,20,26,76.9,29,40,72.5,6,22,27.3,1,0.2,0.2,+0.8,2,9,4,0,9,Matches,,,,,,,,,
210,Jack Hinshelwood,eng ENG,"MF,DF",Brighton,19-290,2005,9.5,425,512,83.0,6363,1547,250,271,92.3,133,158,84.2,30,61,49.2,0,0.3,0.7,-0.3,7,19,5,0,34,Matches,,,,,,,,,
211,George Hirst,eng ENG,FW,Ipswich Town,25-346,1999,2.4,25,49,51.0,274,97,18,30,60.0,5,11,45.5,0,1,0.0,1,0.3,0.1,+0.7,3,0,3,0,8,Matches,,,,,,,,,
212,Mason Holgate,eng ENG,"FW,DF",Everton,28-096,1996,0.1,2,2,100.0,55,0,0,0,,1,1,100.0,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches,,,,,,,,,
213,Callum Hudson-Odoi,eng ENG,"FW,MF",Nott'ham Forest,24-080,2000,16.9,490,593,82.6,6931,1410,306,331,92.4,135,164,82.3,28,59,47.5,2,2.0,1.9,0.0,34,21,17,4,49,Matches,,,,,,,,,
214,Will Hughes,eng ENG,MF,Crystal Palace,29-284,1995,13.8,470,604,77.8,7655,2582,228,254,89.8,198,235,84.3,30,77,39.0,3,1.7,1.6,+1.3,23,51,10,3,63,Matches,,,,,,,,,
215,Dean Huijsen,es ESP,DF,Bournemouth,19-287,2005,12.8,594,704,84.4,12075,4683,181,202,89.6,332,365,91.0,77,123,62.6,0,0.8,0.8,-0.8,11,69,2,0,58,Matches,,,,,,,,,
216,Omari Hutchinson,eng ENG,"MF,FW",Ipswich Town,21-088,2003,19.7,433,564,76.8,6570,1095,227,259,87.6,172,210,81.9,22,41,53.7,1,2.1,1.3,-1.1,18,32,12,5,47,Matches,,,,,,,,,
217,Rasmus Højlund,dk DEN,FW,Manchester Utd,21-357,2003,11.5,138,178,77.5,1450,281,102,121,84.3,18,27,66.7,3,3,100.0,0,1.1,0.7,-1.1,11,8,3,0,11,Matches,,,,,,,,,
218,Igor,br BRA,DF,Brighton,26-354,1998,10.0,628,682,92.1,11358,3723,248,257,96.5,337,354,95.2,40,56,71.4,0,0.2,0.3,-0.2,1,35,2,1,44,Matches,,,,,,,,,
219,Danny Ings,eng ENG,FW,West Ham,32-187,1992,2.7,55,80,68.8,708,82,38,43,88.4,14,24,58.3,1,5,20.0,2,1.2,0.1,+0.8,5,2,0,0,3,Matches,,,,,,,,,
220,Tim Iroegbunam,eng ENG,MF,Everton,21-210,2003,4.3,70,99,70.7,1194,446,33,45,73.3,24,31,77.4,10,13,76.9,0,0.1,0.1,-0.1,2,8,1,0,10,Matches,,,,,,,,,
221,Andy Irving,sct SCO,MF,West Ham,24-258,2000,1.0,80,87,92.0,1387,329,37,38,97.4,31,35,88.6,9,9,100.0,0,0.0,0.0,0.0,0,13,0,0,7,Matches,,,,,,,,,
222,Alexander Isak,se SWE,FW,Newcastle Utd,25-127,1999,19.0,333,452,73.7,4615,1075,204,247,82.6,94,121,77.7,16,27,59.3,5,3.7,2.9,+1.3,34,25,15,0,54,Matches,,,,,,,,,
223,Alex Iwobi,ng NGA,"FW,MF",Fulham,28-268,1996,20.5,718,951,75.5,12268,3809,376,430,87.4,265,343,77.3,67,117,57.3,3,4.7,4.9,-1.7,42,71,56,7,137,Matches,,,,,,,,,
224,Nicolas Jackson,sn SEN,FW,Chelsea,23-220,2001,18.7,224,298,75.2,2907,655,140,170,82.4,61,81,75.3,6,11,54.5,5,3.8,1.5,+1.2,23,16,6,1,25,Matches,,,,,,,,,
225,Reece James,eng ENG,DF,Chelsea,25-049,1999,4.7,302,365,82.7,5430,1873,136,143,95.1,136,156,87.2,26,55,47.3,0,0.1,0.4,-0.1,3,33,1,0,21,Matches,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches,,,,,,,,,
226,Vitaly Janelt,de GER,MF,Brentford,26-261,1998,17.4,613,744,82.4,10535,3109,299,334,89.5,252,291,86.6,50,91,54.9,3,2.1,1.9,+0.9,12,54,15,6,57,Matches,,,,,,,,,
227,Vitezslav Jaros,cz CZE,GK,Liverpool,23-187,2001,0.1,6,8,75.0,302,273,0,0,,1,1,100.0,5,7,71.4,0,0.0,0.0,0.0,0,2,0,0,0,Matches,,,,,,,,,
228,Daniel Jebbison,eng ENG,"FW,MF",Bournemouth,21-166,2003,0.5,13,17,76.5,143,24,10,12,83.3,1,1,100.0,0,0,,0,0.2,0.1,-0.2,3,1,1,0,2,Matches,,,,,,,,,
229,Mathias Jensen,dk DEN,MF,Brentford,29-025,1996,7.1,253,339,74.6,4725,1709,115,135,85.2,98,124,79.0,34,64,53.1,1,1.4,1.1,-0.4,13,31,13,2,43,Matches,,,,,,,,,
230,Gabriel Jesus,br BRA,FW,Arsenal,27-298,1997,6.8,156,203,76.8,2030,378,103,128,80.5,41,47,87.2,4,6,66.7,0,0.7,0.5,-0.7,8,10,9,1,19,Matches,,,,,,,,,
231,Raúl Jiménez,mx MEX,FW,Fulham,33-266,1991,15.4,236,345,68.4,3582,861,132,162,81.5,70,99,70.7,19,33,57.6,2,2.4,1.5,-0.4,10,19,6,3,28,Matches,,,,,,,,,
232,Kim Jisoo,kr KOR,DF,Brentford,20-033,2004,0.3,24,27,88.9,514,163,8,9,88.9,11,12,91.7,5,6,83.3,0,0.0,0.0,0.0,0,1,0,0,2,Matches,,,,,,,,,
